epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.522,0.68069,0.3752,1.03819,0.94841,0.97222,0.97681,0.87421,0.70725,0.34427,1.21305,0.00041498,0.00041498,0.00041498
2,192.563,0.70351,0.40359,1.06738,0.99005,1,0.995,0.89276,0.71907,0.42663,1.21532,0.000749313,0.000749313,0.000749313
3,285.925,0.71642,0.42863,1.08643,0.96192,1,0.995,0.91978,0.74171,0.35378,1.22051,0.00100115,0.00100115,0.00100115
4,378.581,0.70034,0.40445,1.07028,0.95426,1,0.995,0.88418,0.74164,0.36411,1.21208,0.00087875,0.00087875,0.00087875
5,472.235,0.70029,0.41013,1.04927,0.91936,0.97222,0.9758,0.911,0.68714,0.34956,1.23886,0.000755,0.000755,0.000755
6,565.414,0.67279,0.38566,1.03311,0.94618,0.97222,0.965,0.92942,0.65018,0.35363,1.22684,0.00063125,0.00063125,0.00063125
7,659.338,0.68031,0.353,1.06225,0.94756,0.97222,0.97681,0.91169,0.66677,0.29932,1.1923,0.0005075,0.0005075,0.0005075
8,754.189,0.66382,0.34492,1.05215,0.95993,0.97222,0.97931,0.87698,0.70819,0.32395,1.21703,0.00038375,0.00038375,0.00038375
9,848.309,0.64097,0.33566,1.03342,0.97499,1,0.995,0.90781,0.66989,0.30992,1.20532,0.00026,0.00026,0.00026
10,942.621,0.65039,0.32361,1.04223,0.94754,0.97222,0.96987,0.89978,0.6985,0.29546,1.22011,0.00013625,0.00013625,0.00013625
